,起点城市,起点城市所属地级市,起点城市所属省份,起点机场,终点城市,终点城市所属地级市,终点城市所属省份,终点机场,航空公司,航班,机型,出发时间,到达时间,准点率,班次_周一,班次_周二,班次_周三,班次_周四,班次_周五,班次_周六,班次_周日
14,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU2497,波音737-900ER（中型）,8:10,10:25,97%,1,0,1,1,1,0,1
15,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU5876,波音737-900ER（中型）,10:55,13:20,97%,0,0,0,1,0,1,1
16,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU5876,波音737-900ER（中型）,11:20,13:40,97%,0,1,0,0,0,0,0
17,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,南方航空,CZ6425,空中客车A320（中型）,11:40,14:10,98%,1,1,1,1,1,1,1
18,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU2485,波音737-900ER（中型）,17:05,19:20,95%,1,1,1,1,1,1,1
19,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU5479,空中客车A319（中型）,17:15,19:35,97%,0,1,0,1,0,1,0
20,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU9740,波音737-400（中型）,17:40,21:55,98%,0,0,0,0,1,0,0
21,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,南方航空,CZ3469,波音737-200（中型）,17:40,20:05,98%,1,1,1,1,1,1,1
22,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU9740,波音737-400（中型）,17:50,22:15,98%,1,0,0,0,0,0,0
23,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU9740,波音737-400（中型）,17:55,22:15,98%,0,0,1,0,0,0,0
24,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,南方航空,CZ9187,波音737-800（中型）,20:10,22:25,66%,1,1,1,1,1,1,1
25,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU2493,波音737-900ER（中型）,20:10,22:25,66%,1,1,1,1,1,1,1
26,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,祥鹏航空,8L9892,波音737（中型）,20:35,22:55,91%,1,1,1,1,0,1,0
27,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,祥鹏航空,8L9892,波音737（中型）,20:35,23:00,91%,0,0,0,0,1,0,1
28,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,中国国航,CA5774,波音737-700（中型）,21:35,0:10,73%,1,1,1,1,1,1,1
29,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,南方航空,CZ3541,波音737-200（中型）,21:35,23:55,77%,1,1,1,1,1,1,1
30,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,昆明航空,KY8274,波音737-800（中型）,21:35,0:10,73%,1,1,1,1,1,1,1
31,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,深圳航空,ZH3174,波音737-700（中型）,21:35,0:10,73%,1,1,1,1,1,1,1
32,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,祥鹏航空,8L9870,空中客车A320（中型）,23:20,1:45,75%,1,1,1,1,1,1,1
33,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,天津,,天津市,天津滨海国际机场T2,中国国航,CA8146,波音737-800（中型）,13:15,15:55,-,0,0,0,0,0,0,1
34,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,天津,,天津市,天津滨海国际机场T2,中国国航,CA8146,波音737-800（中型）,13:15,16:00,-,0,0,1,0,1,0,0
35,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,多彩航空,GY7121,巴西航空工业公司190（中型）,13:30,17:45,93%,1,0,1,0,1,0,1
36,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,多彩航空,GY7147,巴西航空工业公司190（中型）,13:30,17:35,89%,0,1,0,1,0,1,0
37,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,天津航空,GS6470,巴西航空工业公司190（中型）,17:35,22:05,84%,0,1,0,1,0,1,0
38,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,多彩航空,GY7169,巴西航空工业公司190（中型）,18:15,21:00,80%,1,0,1,1,0,1,1
39,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,天津航空,GS6491,巴西航空工业公司190（中型）,18:35,22:50,84%,1,0,1,0,1,0,1
40,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,天津,,天津市,天津滨海国际机场T2,中国国航,CA1418,波音737-800（中型）,19:00,21:50,86%,1,1,1,1,1,1,1
41,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,华夏航空,G54030,波音737-800（中型）,19:00,21:50,86%,1,1,1,1,1,1,1
42,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,天津,,天津市,天津滨海国际机场T2,山东航空,SC1418,波音737-800（中型）,19:00,21:50,86%,1,1,1,1,1,1,1
43,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,天津,,天津市,天津滨海国际机场T2,深圳航空,ZH1418,波音737-800（中型）,19:00,21:50,86%,1,1,1,1,1,1,1
44,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,天津,,天津市,天津滨海国际机场T2,天津航空,GS7902,空中客车A320（中型）,20:20,1:00,91%,1,1,1,1,1,1,1
45,威海,威海市,山东省,威海大水泊机场,杭州,杭州市,浙江省,杭州萧山国际机场T3,长龙航空,GJ8944,空中客车A320（中型）,14:20,16:25,-,0,1,1,1,1,1,0
46,威海,威海市,山东省,威海大水泊机场,杭州,杭州市,浙江省,杭州萧山国际机场T3,长龙航空,GJ8944,空中客车A320（中型）,15:05,17:00,-,1,0,0,0,0,0,1
47,威海,威海市,山东省,威海大水泊机场,杭州,杭州市,浙江省,杭州萧山国际机场T1,中国国航,CA1788,空中客车A320（中型）,15:40,17:35,-,1,1,1,1,1,1,1
48,威海,威海市,山东省,威海大水泊机场,杭州,杭州市,浙江省,杭州萧山国际机场T1,深圳航空,ZH1788,空中客车A320（中型）,15:40,17:35,-,1,1,1,1,1,1,1
49,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,海南航空,HU7263,波音737-800（中型）,7:05,10:20,82%,0,0,0,0,1,0,0
50,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,海南航空,HU7263,波音737-800（中型）,7:20,10:20,82%,0,0,0,0,0,0,1
51,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,海南航空,HU7691,波音737-800（中型）,7:45,11:10,93%,0,0,0,0,0,1,0
52,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,海南航空,HU7691,波音737-800（中型）,7:55,11:20,93%,0,1,0,1,0,0,0
53,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,海南航空,HU7665,波音737-800（中型）,8:40,13:55,93%,1,0,1,0,1,0,1
54,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,中国联航,KN2370,波音737（中型）,12:15,15:35,73%,1,1,1,1,1,1,1
55,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,东方航空,MU3702,,12:15,15:35,73%,1,1,1,1,1,1,1
56,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,南方航空,CZ9852,波音737-800（中型）,13:45,16:55,80%,1,0,1,0,0,0,0
57,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,南方航空,CZ9852,波音737-800（中型）,13:45,17:10,80%,0,1,0,1,1,1,1
58,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,厦门航空,MF7052,波音737-800（中型）,13:45,16:55,80%,1,0,1,0,0,0,0
59,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,厦门航空,MF7052,波音737-800（中型）,13:45,17:10,80%,0,1,0,1,1,1,1
60,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,河北航空,NS3288,波音737-800（中型）,13:45,16:55,80%,1,0,1,0,0,0,0
61,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,河北航空,NS3288,波音737-800（中型）,13:45,17:10,80%,0,1,0,1,1,1,1
62,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,首都航空,JD5221,空中客车A320（中型）,14:35,17:50,61%,1,1,0,1,1,1,1
63,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,首都航空,JD5221,空中客车A320（中型）,14:35,17:55,61%,0,0,1,0,0,0,0
64,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,中国国航,CA4840,波音737-800（中型）,14:40,18:05,75%,1,1,1,1,1,1,1
65,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,山东航空,SC4840,波音737-800（中型）,14:40,18:05,75%,1,1,1,1,1,1,1
66,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,厦门航空,MF7018,波音737-800（中型）,19:10,0:10,87%,1,0,1,0,1,0,1
67,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,厦门航空,MF7054,波音737-800（中型）,19:10,0:10,89%,0,1,0,1,0,1,0
68,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,河北航空,NS3240,波音737-800（中型）,19:10,0:10,87%,1,0,1,0,1,0,1
69,海口,海口市,海南省,海口美兰国际机场,石家庄,石家庄市,河北省,石家庄正定国际机场T2,河北航空,NS3290,波音737-800（中型）,19:10,0:10,89%,0,1,0,1,0,1,0
70,遵义,遵义市,贵州省,遵义茅台机场,昆明,昆明市,云南省,昆明长水国际机场,中国国航,CA8363,波音737-800（中型）,12:30,13:45,86%,0,0,1,0,1,0,1
71,遵义,遵义市,贵州省,遵义茅台机场,昆明,昆明市,云南省,昆明长水国际机场,昆明航空,KY4363,,12:30,13:45,86%,0,0,1,0,1,0,1
72,遵义,遵义市,贵州省,遵义茅台机场,昆明,昆明市,云南省,昆明长水国际机场,昆明航空,KY8226,波音737-800（中型）,22:00,23:15,75%,1,1,1,1,1,1,1
73,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU2217,空中客车A319（中型）,8:00,11:35,88%,1,1,1,1,1,1,1
74,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,中国国航,CA459,空中客车A320（中型）,12:05,13:50,100%,1,0,1,0,1,1,0
75,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U8156,空中客车A320（中型）,15:10,16:55,97%,0,1,0,0,0,0,0
76,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U8156,空中客车A320（中型）,15:10,17:00,97%,0,0,0,1,0,1,0
77,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U8988,空中客车A320（中型）,16:40,18:20,97%,0,0,0,0,0,0,1
78,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U8988,空中客车A320（中型）,16:40,18:25,97%,0,0,0,0,1,0,0
79,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,中国国航,CA4212,空中客车A320（中型）,18:05,19:50,100%,0,0,0,1,0,0,1
80,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,西藏航空,TV6326,空中客车A330（大型）,18:05,19:50,100%,0,0,0,1,0,0,1
81,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,深圳航空,ZH4212,,18:05,19:50,100%,0,0,0,1,0,0,1
82,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U5108,,18:20,20:00,84%,0,1,0,0,0,1,0
83,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U5108,,18:20,20:15,84%,0,0,0,1,0,0,0
84,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU5654,空中客车A320（中型）,18:20,20:00,84%,0,1,0,0,0,1,0
85,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU5654,空中客车A320（中型）,18:20,20:15,84%,0,0,0,1,0,0,0
86,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U5108,,18:55,20:35,84%,1,0,1,0,1,0,1
87,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU5654,空中客车A320（中型）,18:55,20:35,84%,1,0,1,0,1,0,1
88,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T1,四川航空,3U5106,空中客车A330-25（大型）,19:35,21:20,100%,1,0,1,0,1,0,0
89,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU2281,空中客车A319（中型）,19:35,21:20,100%,1,0,1,0,1,0,0
90,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU2374,空中客车A319（中型）,19:35,21:20,100%,1,0,1,0,1,0,0
91,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,中国国航,CA4212,空中客车A320（中型）,19:40,21:25,100%,0,1,0,0,0,1,0
92,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,西藏航空,TV6326,空中客车A330（大型）,19:40,21:25,100%,0,1,0,0,0,1,0
93,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,深圳航空,ZH4212,,19:40,21:25,100%,0,1,0,0,0,1,0
94,西宁,西宁市,青海省,西宁曹家堡机场T2,成都,成都市,四川省,成都双流国际机场T2,成都航空,EU2282,空中客车A319（中型）,23:40,1:30,100%,1,0,1,0,1,0,1
95,阜阳,阜阳市,安徽省,阜阳西关机场,舟山,舟山市,浙江省,舟山普陀山机场,中国国航,CA5881,,9:55,11:25,91%,1,0,1,0,1,0,1
96,阜阳,阜阳市,安徽省,阜阳西关机场,舟山,舟山市,浙江省,舟山普陀山机场,华夏航空,G52631,空中客车A320（中型）,9:55,11:25,91%,1,0,1,0,1,0,1
97,阜阳,阜阳市,安徽省,阜阳西关机场,舟山,舟山市,浙江省,舟山普陀山机场,东方航空,MU6610,空中客车A320（中型）,9:55,11:25,91%,1,0,1,0,1,0,1
98,西安,西安市,陕西省,西安咸阳国际机场T3,林芝,林芝地区,西藏自治区,林芝米林机场,四川航空,3U8603,空中客车A319（中型）,6:30,9:20,95%,1,1,1,1,1,1,1
99,西安,西安市,陕西省,西安咸阳国际机场T2,林芝,林芝地区,西藏自治区,林芝米林机场,山东航空,SC7017,,6:30,9:20,95%,1,1,1,1,1,1,1
100,西安,西安市,陕西省,西安咸阳国际机场T2,林芝,林芝地区,西藏自治区,林芝米林机场,中国国航,CA3915,空中客车319（中型）,6:50,11:15,93%,1,1,1,1,1,1,1
101,西安,西安市,陕西省,西安咸阳国际机场T2,林芝,林芝地区,西藏自治区,林芝米林机场,西藏航空,TV6061,空中客车A319（中型）,6:50,11:15,93%,1,1,1,1,1,1,1
102,西安,西安市,陕西省,西安咸阳国际机场T2,林芝,林芝地区,西藏自治区,林芝米林机场,深圳航空,ZH3921,,6:50,11:15,93%,1,1,1,1,1,1,1
103,临沂,临沂市,山东省,临沂沭埠岭机场,桂林,桂林市,广西壮族自治区,桂林两江国际机场T2,首都航空,JD5764,空中客车A320（中型）,12:30,14:50,84%,1,1,1,1,1,1,1
104,福州,福州市,福建省,福州长乐国际机场,六盘水,六盘水市,贵州省,六盘水月照机场,天津航空,GS6462,巴西航空工业公司190（中型）,14:35,17:30,-,1,0,1,0,1,0,1
105,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,祥鹏航空,8L9949,波音737-800（中型）,6:30,7:40,100%,1,0,1,0,0,0,0
106,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,祥鹏航空,8L9949,波音737-800（中型）,6:50,8:00,100%,0,1,0,1,1,1,1
107,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5945,波音737（中型）,8:35,9:45,75%,1,0,0,0,0,0,0
108,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5945,波音737（中型）,8:50,10:05,75%,0,1,1,1,1,0,1
109,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5945,波音737（中型）,9:00,10:15,75%,0,0,0,0,0,1,0
110,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5947,波音737-400（中型）,12:55,14:10,80%,0,0,0,0,1,0,0
111,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5947,波音737-400（中型）,13:05,14:15,80%,1,1,1,1,0,1,1
112,昆明,昆明市,云南省,昆明长水国际机场,澜沧,普洱市,云南省,澜沧景迈机场,东方航空,MU5949,波音737（中型）,20:30,21:45,95%,1,1,1,1,1,1,1
113,西昌,凉山彝族自治州,四川省,西昌青山机场,南京,南京市,江苏省,南京禄口国际机场T2,四川航空,3U8059,空中客车A320（中型）,12:25,16:00,94%,1,0,1,0,1,0,1
114,杭州,杭州市,浙江省,杭州萧山国际机场T3,阿克苏,阿克苏地区,新疆维吾尔自治区,阿克苏机场,长龙航空,GJ8781,空中客车A320（中型）,14:05,22:15,95%,0,1,1,1,1,1,0
115,杭州,杭州市,浙江省,杭州萧山国际机场T3,阿克苏,阿克苏地区,新疆维吾尔自治区,阿克苏机场,南方航空,CZ6920,波音737-800（中型）,15:50,23:45,86%,1,1,1,1,1,1,1
116,杭州,杭州市,浙江省,杭州萧山国际机场T3,阿克苏,阿克苏地区,新疆维吾尔自治区,阿克苏机场,长龙航空,GJ8781,空中客车A320（中型）,16:40,0:50,95%,1,0,0,0,0,0,1
117,临汾,临汾市,山西省,临汾乔李机场,天津,,天津市,天津滨海国际机场T2,天津航空,GS6532,空中客车A320（中型）,17:25,18:50,71%,1,0,1,0,0,0,1
118,临汾,临汾市,山西省,临汾乔李机场,天津,,天津市,天津滨海国际机场T2,天津航空,GS6532,空中客车A320（中型）,17:35,19:00,71%,0,0,0,0,1,0,0
119,烟台,烟台市,山东省,烟台蓬莱国际机场,盐城,盐城市,江苏省,盐城南洋机场T2,南方航空,CZ8636,空中客车A321（中型）,17:40,19:00,71%,1,0,1,1,1,1,1
120,烟台,烟台市,山东省,烟台蓬莱国际机场,盐城,盐城市,江苏省,盐城南洋机场T2,厦门航空,MF4752,,17:40,19:00,71%,1,0,1,1,1,1,1
121,武汉,武汉市,湖北省,武汉天河国际机场T3,琼海,,海南省,琼海博鳌机场,中国国航,CA8259,空中客车A320（中型）,10:00,12:40,98%,0,0,0,0,1,0,1
122,武汉,武汉市,湖北省,武汉天河国际机场T3,琼海,,海南省,琼海博鳌机场,深圳航空,ZH4659,,10:00,12:40,98%,0,0,0,0,1,0,1
123,武汉,武汉市,湖北省,武汉天河国际机场T3,琼海,,海南省,琼海博鳌机场,中国国航,CA8259,空中客车A320（中型）,11:50,14:30,98%,1,0,1,0,0,0,0
124,武汉,武汉市,湖北省,武汉天河国际机场T3,琼海,,海南省,琼海博鳌机场,深圳航空,ZH4659,,11:50,14:30,98%,1,0,1,0,0,0,0
125,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,南方航空,CZ9210,波音737-900ER（中型）,7:20,8:55,-,1,1,1,1,1,1,1
126,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T1,东方航空,MU2519,波音737-900ER（中型）,7:20,8:55,-,1,1,1,1,1,1,1
127,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T1,东方航空,MU517,波音737-900ER（中型）,7:40,9:15,97%,1,1,1,1,1,1,1
128,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,南方航空,CZ3823,波音737-200（中型）,8:05,9:55,95%,0,0,0,1,1,1,1
129,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T1,东方航空,MU3221,,8:05,9:55,95%,0,0,0,1,1,1,1
130,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海虹桥国际机场T2,南方航空,CZ9191,波音737-800（中型）,8:50,10:20,98%,1,1,1,1,1,1,1
131,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海虹桥国际机场T2,东方航空,MU2501,波音737-800（中型）,8:50,10:20,98%,1,1,1,1,1,1,1
132,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海虹桥国际机场T2,南方航空,CZ9195,波音737-800（中型）,10:25,11:55,97%,1,1,1,1,1,1,1
133,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海虹桥国际机场T2,东方航空,MU2507,波音737-900ER（中型）,10:25,11:55,97%,1,1,1,1,1,1,1
134,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,中国国航,CA3250,空中客车A320（中型）,10:55,12:40,98%,1,1,1,1,1,1,1
135,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,吉祥航空,HO1074,空中客车A321（中型）,10:55,12:40,98%,1,1,1,1,1,1,1
136,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,南方航空,CZ6197,波音737-800（中型）,11:00,12:40,100%,1,1,1,1,1,1,1
137,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T1,东方航空,MU3190,波音737-800（中型）,11:00,12:40,100%,1,1,1,1,1,1,1
138,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T2,南方航空,CZ9633,,11:45,13:20,100%,1,1,1,1,1,1,1
139,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海浦东国际机场T1,东方航空,MU2543,波音737-800（中型）,11:45,13:20,100%,1,1,1,1,1,1,1
140,武汉,武汉市,湖北省,武汉天河国际机场T3,上海,,上海市,上海虹桥国际机场T2,上海航空,FM9348,波音737-900ER（中型）,12:40,14:15,97%,1,1,1,1,1,1,0
